customer_id,name,email,signup_date,country,age
74,Customer_74,cust74@email.com,01/01/2024,US,
75,Customer_75,cust75@email.com,11/01/2024,US,38.0
76,Customer_76,cust76@email.com,21/01/2024,CA,29.0
77,Customer_77,cust77@email.com  ,31/01/2024,NZ,29.0
78,Customer_78,cust78@email.com,10/02/2024,CA,33.0
79,Customer_79,cust79@email.com,20/02/2024,CA,41.0
80,Customer_80,cust80@email.com,01/03/2024,CA,63.0
81,Customer_81,cust81@email.com,11/03/2024,NZ,21.0
82,Customer_82,cust82@email.com,21/03/2024,NZ,51.0
83,Customer_83,cust83@email.com,31/03/2024,AU,34.0
84,Customer_84,cust84@email.com  ,10/04/2024,CA,36.0
85,Customer_85,cust85@email.com,20/04/2024,NZ,
86,Customer_86,cust86@email.com,30/04/2024,AU,
87,Customer_87,cust87@email.com,10/05/2024,UK,
88,Customer_88,cust88@email.com,20/05/2024,UK,66.0
89,Customer_89,cust89@email.com,30/05/2024,NZ,
90,Customer_90,cust90@email.com,09/06/2024,UK,41.0
91,Customer_91,cust91@email.com  ,19/06/2024,NZ,39.0
92,Customer_92,cust92@email.com,29/06/2024,CA,38.0
93,Customer_93,cust93@email.com,09/07/2024,CA,20.0
94,Customer_94,cust94@email.com,19/07/2024,AU,33.0
95,Customer_95,cust95@email.com,29/07/2024,CA,30.0
96,Customer_96,cust96@email.com,08/08/2024,NZ,47.0
97,Customer_97,cust97@email.com,18/08/2024,US,48.0
98,Customer_98,cust98@email.com  ,28/08/2024,UK,
99,Customer_99,cust99@email.com,07/09/2024,CA,53.0
100,Customer_100,cust100@email.com,17/09/2024,CA,56.0
